#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   472.0           3.8231E+00              3.8231E+00
   473.0           3.8244E+00              3.8244E+00
   474.0           3.8256E+00              3.8256E+00
   475.0           3.8269E+00              3.8269E+00
   476.0           3.8282E+00              3.8282E+00
   477.0           3.8294E+00              3.8294E+00
   478.0           3.8307E+00              3.8307E+00
   479.0           3.8320E+00              3.8320E+00
   480.0           3.8333E+00              3.8333E+00
   481.0           3.8345E+00              3.8345E+00
   482.0           3.8358E+00              3.8358E+00
   483.0           3.8371E+00              3.8371E+00
   484.0           3.8383E+00              3.8383E+00
   485.0           3.8396E+00              3.8396E+00
   486.0           3.8409E+00              3.8409E+00
   487.0           3.8421E+00              3.8421E+00
   488.0           3.8434E+00              3.8434E+00
   489.0           3.8447E+00              3.8447E+00
   490.0           3.8459E+00              3.8459E+00
   491.0           3.8472E+00              3.8472E+00
   492.0           3.8485E+00              3.8485E+00
   493.0           3.8497E+00              3.8497E+00
   494.0           3.8510E+00              3.8510E+00
   495.0           3.8523E+00              3.8523E+00
   496.0           3.8535E+00              3.8535E+00
   497.0           3.8548E+00              3.8548E+00
   498.0           3.8561E+00              3.8561E+00
   499.0           3.8573E+00              3.8573E+00
   500.0           3.8586E+00              3.8586E+00
   501.0           3.8599E+00              3.8599E+00
   502.0           3.8611E+00              3.8611E+00
   503.0           3.8624E+00              3.8624E+00
   504.0           3.8637E+00              3.8636E+00
   505.0           3.8649E+00              3.8649E+00
   506.0           3.8662E+00              3.8662E+00
   507.0           3.8674E+00              3.8674E+00
   508.0           3.8687E+00              3.8687E+00
   509.0           3.8700E+00              3.8700E+00
   510.0           3.8712E+00              3.8712E+00
   511.0           3.8725E+00              3.8725E+00
   512.0           3.8738E+00              3.8738E+00
   513.0           3.8750E+00              3.8750E+00
   514.0           3.8763E+00              3.8763E+00
   515.0           3.8776E+00              3.8776E+00
   516.0           3.8788E+00              3.8788E+00
   517.0           3.8801E+00              3.8801E+00
   518.0           3.8814E+00              3.8814E+00
   519.0           3.8826E+00              3.8826E+00
   520.0           3.8839E+00              3.8839E+00
   521.0           3.8852E+00              3.8852E+00
   522.0           3.8865E+00              3.8864E+00
   523.0           3.8877E+00              3.8877E+00
   524.0           3.8890E+00              3.8890E+00
   525.0           3.8903E+00              3.8903E+00
   526.0           3.8915E+00              3.8915E+00
   527.0           3.8928E+00              3.8928E+00
   528.0           3.8941E+00              3.8941E+00
   529.0           3.8953E+00              3.8953E+00
   530.0           3.8966E+00              3.8966E+00
   531.0           3.8979E+00              3.8979E+00
   532.0           3.8992E+00              3.8992E+00
   533.0           3.9004E+00              3.9004E+00
   534.0           3.9017E+00              3.9017E+00
   535.0           3.9030E+00              3.9030E+00
   536.0           3.9042E+00              3.9042E+00
   537.0           3.9055E+00              3.9055E+00
   538.0           3.9068E+00              3.9068E+00
   539.0           3.9081E+00              3.9081E+00
   540.0           3.9093E+00              3.9093E+00
   541.0           3.9106E+00              3.9106E+00
   542.0           3.9119E+00              3.9119E+00
   543.0           3.9132E+00              3.9132E+00
   544.0           3.9144E+00              3.9144E+00
   545.0           3.9157E+00              3.9157E+00
   546.0           3.9170E+00              3.9170E+00
   547.0           3.9183E+00              3.9183E+00
   548.0           3.9195E+00              3.9195E+00
   549.0           3.9208E+00              3.9208E+00
   550.0           3.9221E+00              3.9221E+00
   551.0           3.9234E+00              3.9234E+00
   552.0           3.9246E+00              3.9246E+00
   553.0           3.9259E+00              3.9259E+00
   554.0           3.9272E+00              3.9272E+00
   555.0           3.9285E+00              3.9285E+00
   556.0           3.9297E+00              3.9297E+00
   557.0           3.9310E+00              3.9310E+00
   558.0           3.9323E+00              3.9323E+00
   559.0           3.9336E+00              3.9336E+00
   560.0           3.9349E+00              3.9349E+00
   561.0           3.9361E+00              3.9361E+00
   562.0           3.9374E+00              3.9374E+00
   563.0           3.9387E+00              3.9387E+00
   564.0           3.9400E+00              3.9400E+00
   565.0           3.9412E+00              3.9412E+00
   566.0           3.9425E+00              3.9425E+00
   567.0           3.9438E+00              3.9438E+00
   568.0           3.9451E+00              3.9451E+00
   569.0           3.9463E+00              3.9463E+00
   570.0           3.9476E+00              3.9476E+00
   571.0           3.9489E+00              3.9489E+00
   572.0           3.9502E+00              3.9502E+00
   573.0           3.9514E+00              3.9514E+00
   574.0           3.9527E+00              3.9527E+00
   575.0           3.9540E+00              3.9540E+00
   576.0           3.9553E+00              3.9553E+00
   577.0           3.9565E+00              3.9565E+00
   578.0           3.9578E+00              3.9578E+00
   579.0           3.9591E+00              3.9591E+00
   580.0           3.9603E+00              3.9603E+00
   581.0           3.9616E+00              3.9616E+00
   582.0           3.9629E+00              3.9629E+00
   583.0           3.9642E+00              3.9642E+00
   584.0           3.9654E+00              3.9654E+00
   585.0           3.9667E+00              3.9667E+00
   586.0           3.9680E+00              3.9680E+00
   587.0           3.9693E+00              3.9693E+00
   588.0           3.9705E+00              3.9705E+00
   589.0           3.9718E+00              3.9718E+00
   590.0           3.9731E+00              3.9731E+00
   591.0           3.9743E+00              3.9743E+00
   592.0           3.9756E+00              3.9756E+00
   593.0           3.9769E+00              3.9769E+00
   594.0           3.9781E+00              3.9781E+00
   595.0           3.9794E+00              3.9794E+00
   596.0           3.9807E+00              3.9807E+00
   597.0           3.9819E+00              3.9819E+00
   598.0           3.9832E+00              3.9832E+00
   599.0           3.9845E+00              3.9845E+00
   600.0           3.9857E+00              3.9857E+00
   601.0           3.9870E+00              3.9870E+00
   602.0           3.9883E+00              3.9883E+00
   603.0           3.9895E+00              3.9895E+00
   604.0           3.9908E+00              3.9908E+00
   605.0           3.9921E+00              3.9921E+00
   606.0           3.9933E+00              3.9933E+00
   607.0           3.9946E+00              3.9946E+00
   608.0           3.9959E+00              3.9959E+00
   609.0           3.9971E+00              3.9971E+00
   610.0           3.9984E+00              3.9984E+00
   611.0           3.9996E+00              3.9996E+00
   612.0           4.0009E+00              4.0009E+00
   613.0           4.0022E+00              4.0022E+00
   614.0           4.0034E+00              4.0034E+00
   615.0           4.0047E+00              4.0047E+00
   616.0           4.0059E+00              4.0059E+00
   617.0           4.0072E+00              4.0072E+00
   618.0           4.0084E+00              4.0084E+00
   619.0           4.0097E+00              4.0097E+00
   620.0           4.0109E+00              4.0109E+00
   621.0           4.0122E+00              4.0122E+00
   622.0           4.0135E+00              4.0135E+00
   623.0           4.0147E+00              4.0147E+00
   624.0           4.0160E+00              4.0160E+00
   625.0           4.0172E+00              4.0172E+00
   626.0           4.0185E+00              4.0185E+00
   627.0           4.0197E+00              4.0197E+00
   628.0           4.0210E+00              4.0210E+00
   629.0           4.0222E+00              4.0222E+00
   630.0           4.0235E+00              4.0234E+00
   631.0           4.0247E+00              4.0247E+00
   632.0           4.0259E+00              4.0259E+00
   633.0           4.0272E+00              4.0272E+00
   634.0           4.0284E+00              4.0284E+00
   635.0           4.0297E+00              4.0297E+00
   636.0           4.0309E+00              4.0309E+00
   637.0           4.0322E+00              4.0322E+00
   638.0           4.0334E+00              4.0334E+00
