#ndep: 2897
#depth (km)   Vpv_arithmetic (km/s)   Vpv_geometric (km/s)
   606.0           1.0080E+01              1.0080E+01
   607.0           1.0085E+01              1.0085E+01
   608.0           1.0090E+01              1.0090E+01
   609.0           1.0094E+01              1.0094E+01
   610.0           1.0099E+01              1.0099E+01
   611.0           1.0104E+01              1.0104E+01
   612.0           1.0109E+01              1.0109E+01
   613.0           1.0113E+01              1.0113E+01
   614.0           1.0118E+01              1.0118E+01
   615.0           1.0123E+01              1.0123E+01
   616.0           1.0128E+01              1.0128E+01
   617.0           1.0132E+01              1.0132E+01
   618.0           1.0137E+01              1.0137E+01
   619.0           1.0142E+01              1.0142E+01
   620.0           1.0147E+01              1.0147E+01
   621.0           1.0151E+01              1.0151E+01
   622.0           1.0156E+01              1.0156E+01
   623.0           1.0161E+01              1.0161E+01
   624.0           1.0166E+01              1.0166E+01
   625.0           1.0170E+01              1.0170E+01
   626.0           1.0175E+01              1.0175E+01
   627.0           1.0180E+01              1.0180E+01
   628.0           1.0185E+01              1.0184E+01
   629.0           1.0189E+01              1.0189E+01
   630.0           1.0194E+01              1.0194E+01
   631.0           1.0199E+01              1.0199E+01
   632.0           1.0204E+01              1.0203E+01
   633.0           1.0208E+01              1.0208E+01
   634.0           1.0213E+01              1.0213E+01
   635.0           1.0218E+01              1.0218E+01
   636.0           1.0222E+01              1.0222E+01
   637.0           1.0227E+01              1.0227E+01
   638.0           1.0232E+01              1.0232E+01
   639.0           1.0237E+01              1.0236E+01
   640.0           1.0241E+01              1.0241E+01
   641.0           1.0246E+01              1.0246E+01
   642.0           1.0251E+01              1.0251E+01
   643.0           1.0255E+01              1.0255E+01
   644.0           1.0260E+01              1.0260E+01
   645.0           1.0265E+01              1.0265E+01
   646.0           1.0269E+01              1.0269E+01
   647.0           1.0274E+01              1.0274E+01
   648.0           1.0279E+01              1.0279E+01
   649.0           1.0283E+01              1.0283E+01
